Step,Actual_Displacement,Predicted_Displacement,Residual
448,1.484,1.2965112922991742,0.18748870770082582
449,1.326,1.2985113317646435,0.02748866823535656
450,1.565,1.3005113710332779,0.2644886289667221
451,1.39,1.302511410106059,0.08748858989394082
452,1.379,1.304511448983964,0.07448855101603602
453,1.39,1.3065114876679647,0.08348851233203525
454,1.463,1.3085115261590277,0.15448847384097242
455,1.884,1.310511564458116,0.5734884355418839
456,1.618,1.3125116025661867,0.3054883974338134
457,1.634,1.3145116404841926,0.31948835951580734
458,1.686,1.3165116782130817,0.36948832178691826
459,1.653,1.3185117157537973,0.3344882842462027
460,1.593,1.3205117531072779,0.2724882468927221
461,1.197,1.322511790274457,-0.1255117902744569
462,1.345,1.324511827256264,0.020488172743736044
463,1.667,1.3265118640536233,0.3404881359463767
464,1.568,1.3285119006674555,0.23948809933254456
465,1.39,1.330511937098675,0.0594880629013248
466,1.581,1.3325119733481932,0.2484880266518068
467,1.601,1.3345120094169163,0.2664879905830837
468,1.475,1.3365120453057457,0.13848795469425434
469,1.577,1.3385120810155788,0.23848791898442112
470,1.609,1.3405121165473086,0.26848788345269137
471,1.661,1.342512151901823,0.318487848098177
472,1.658,1.344512187080006,0.31348781291999384
473,1.817,1.346512222082737,0.47048777791726293
474,1.671,1.3485122569108914,0.32248774308910866
475,1.579,1.3505122915653396,0.22848770843466037
476,1.559,1.3525123260469478,0.20648767395305212
477,1.442,1.3545123603565785,0.08748763964342143
478,1.556,1.356512394495089,0.19948760550491107
479,1.682,1.3585124284633332,0.32348757153666674
480,1.653,1.3605124622621598,0.2924875377378402
481,1.521,1.3625124958924142,0.15848750410758572
482,1.481,1.364512529354937,0.11648747064506315
483,1.429,1.3665125626505648,0.06248743734943529
484,1.562,1.36851259578013,0.19348740421986999
485,1.834,1.370512628744461,0.4634873712555392
486,1.598,1.3725126615443815,0.22548733845561864
487,1.867,1.3745126941807115,0.49248730581928846
488,1.469,1.3765127266542674,0.0924872733457327
489,1.508,1.3785127589658608,0.12948724103413922
490,1.54,1.3805127911162993,0.15948720888370072
491,1.361,1.3825128231063868,-0.021512823106386803
492,1.782,1.384512854936923,0.39748714506307703
493,1.776,1.3865128866087038,0.38948711339129627
494,1.65,1.388512918122521,0.2614870818774788
495,1.612,1.3905129494791624,0.22148705052083772
496,1.913,1.3925129806794119,0.5204870193205882
497,1.895,1.3945130117240494,0.5004869882759506
498,1.605,1.3965130426138512,0.20848695738614875
499,1.906,1.3985130733495894,0.5074869266504105
500,1.478,1.4005131039320327,0.07748689606796733
501,1.428,1.4025131343619452,0.02548686563805469
502,1.677,1.404513164640088,0.27248683535991214
503,1.811,1.4065131947672178,0.40448680523278213
504,1.7,1.408513224744088,0.29148677525591205
505,1.38,1.410513254571448,-0.030513254571448156
506,1.543,1.4125132842500432,0.13048671574995674
507,1.726,1.414513313780616,0.3114866862193839
508,1.776,1.4165133431639043,0.3594866568360957
509,1.768,1.4185133724006431,0.3494866275993569
510,1.401,1.420513401491563,-0.019513401491563
511,1.79,1.4225134304373912,0.36748656956260883
512,1.591,1.4245134592388515,0.16648654076114844
513,1.383,1.426513487896664,-0.043513487896664094
514,1.314,1.428513516411545,-0.11451351641154495
515,2.681,1.4305135447842074,1.2504864552157926
516,1.692,1.4325135730153609,0.2594864269846391
517,1.765,1.4345136011057105,0.33048639889428943
518,1.644,1.4365136290559593,0.20748637094404065
519,1.806,1.4385136568668053,0.3674863431331947
520,1.538,1.4405136845389441,0.0974863154610559
521,1.61,1.4425137120730678,0.16748628792693232
522,1.618,1.4445137394698642,0.17348626053013594
523,1.707,1.4465137667300187,0.2604862332699813
524,1.729,1.4485137938542125,0.28048620614578756
525,2.974,1.450513820843124,1.5234861791568761
526,1.529,1.4525138476974275,0.07648615230257239
527,1.94,1.4545138744177946,0.4854861255822054
528,1.662,1.4565139010048935,0.2054860989951064
529,2.061,1.4585139274593886,0.6024860725406114
530,1.502,1.4605139537819414,0.041486046218058625
531,1.757,1.4625139799732099,0.29448602002679003
532,1.808,1.4645140060338488,0.3434859939661512
533,1.774,1.4665140319645098,0.3074859680354902
534,1.659,1.4685140577658409,0.19048594223415916
535,1.74,1.4705140834384878,0.2694859165615122
536,1.673,1.4725141089830913,0.20048589101690872
537,1.515,1.474514134400291,0.0404858655997089
538,1.836,1.4765141596907219,0.3594858403092782
539,1.723,1.478514184855016,0.24448581514498402
540,1.736,1.4805142098938027,0.2554857901061973
541,1.868,1.482514234807708,0.38548576519229205
542,1.523,1.4845142595973546,0.038485740402645296
543,1.757,1.4865142842633623,0.2704857157366376
544,1.588,1.488514308806348,0.09948569119365214
545,1.619,1.4905143332269248,0.12848566677307516
546,1.522,1.4925143575257036,0.029485642474296414
547,1.684,1.4945143817032915,0.1894856182967084
548,1.522,1.4965144057602935,0.025485594239706533
549,1.602,1.4985144296973105,0.10348557030268957
550,1.763,1.5005144535149413,0.2624855464850586
551,1.701,1.502514477213781,0.198485522786219
552,1.659,1.5045145007944223,0.15448549920557775
553,1.547,1.5065145242574545,0.04048547574254546
554,1.493,1.5085145476034647,-0.015514547603464601
555,1.568,1.5105145708330359,0.0574854291669642
556,1.519,1.5125145939467493,0.006485406053250653
557,1.917,1.5145146169451824,0.4024853830548176
558,1.637,1.5168147042341407,0.12018529576585935
559,1.68,1.5188170773788665,0.16118292262113343
560,1.699,1.5208195491105367,0.17818045088946333
561,1.709,1.5232909748799328,0.18570902512006726
562,1.708,1.525297330982323,0.18270266901767696
563,1.758,1.5273039552125636,0.23069604478743644
564,4.055,1.7009817117050057,2.354018288294994
565,1.828,1.7029910550572975,0.12500894494270254
566,1.744,1.7050006980414167,0.038999301958583255
567,1.759,1.7070106565086318,0.05198934349136808
568,1.711,1.7090209472839666,0.0019790527160334914
569,1.805,1.711031588238324,0.09396841176167592
570,1.906,1.7130425983668403,0.19295740163315966
571,1.586,1.7150539978740797,-0.12905399787407967
572,1.937,1.7170658082667487,0.21993419173325135
573,1.611,1.7190780524546814,-0.10807805245468138
574,1.795,1.7210907548609355,0.07390924513906438
575,1.62,1.7231039415419325,-0.10310394154193236
576,1.741,1.7251176403186743,0.015882359681325786
577,1.467,1.7271318809202036,-0.26013188092020356
578,1.898,1.7291466951405934,0.16885330485940653
579,1.628,1.731162117010918,-0.10316211701091804
580,1.599,1.733178182987818,-0.13417818298781792
